index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
;DUCK_070203;Intake of duck meat [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;GOOSE_070204;Intake of goose meat [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;RABBIT_070205;Intake of rabbit meat [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;GAME_0703;Intake of game [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;PROCMEAT_0704;Intake of processed or preserved meat [g/d];decimal;;a_ui_f0704;direct_mapping;direct_mapping;;complete;identical
;OFFALS_0705;Intake of animal offal and other slaughtering [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;FISH_SHELLFISH_08;Intake of fish and seafood and products thereof [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;FISH_0801;Intake of fish (meat) [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;CRUSTACEANS_0802;Intake of seafood and products thereof [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;FISH_PROD_0803;Intake of processed fish [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;EGG_PROD_09;Intake of eggs and egg products [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;EGGS_0901;Intake of eggs [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;FAT_10;Intake of animal and vegetable fats and oils [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;VEGOILS_1001;Intake of vegetable fats and oils [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;BUTTER_1002;Intake of butter [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;MARGARINE_1003;Intake of margarines and similar [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;FRYFAT_1004;Intake of blended frying oil/fats [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;MARINEOILS_1005;Intake of fats and oils from marine sources [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;OTHER_ANIMALFAT_1006;Intake of animal fats (processed fat from animal tissue) [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;SUGAR_CONFECT_11;Intake of sugar and similar, confectionery and water-based sweet desserts [g/d];decimal;;a_ui_m11;direct_mapping;direct_mapping;;complete;identical
;HONEY_JAM_1101;Intake of sugars, syrups, honey and table-top sweeteners [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;CHOCOLATE_1102;Intake of chocolate, chocolate products and chocolate coated confectionary [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;NONCHOC_SWEETS_1103;Intake of sweet bars and other formed sweet masses, candies (soft and hard) and other confectionery including breath refreshening microsweets [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;SYRUP_1104;Intake of corn syrup and sugar beet syrup [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;ICECREAM_1105;Intake of spoonable desserts and ice creams [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;ICECREAM_MILK_110501;Intake of milk-based ice cream [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;SORBET_110502;Sorbet intake [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;WATER_ICE_110503;Intake of water-based ice creams [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;CAKES_12;Intake of cakes and fine bakery products [g/d];decimal;;a_ui_m12;direct_mapping;direct_mapping;;complete;identical
;VARPASTRY_1201;Intake of various pastry [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;DRYCAKE_1202;Intake of sponge biscuits and plain cakes [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;NONALC_BEV_13;Intake of non-alcoholic beverages [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;FRUITVEG_JUICE_1301;Intake of fruit and vegetable juices [g/d];decimal;;a_ui_f1301;direct_mapping;direct_mapping;;complete;identical
;SOFTDRINKS_1302;Intake of soft drinks [g/d];decimal;;a_ui_f1302;direct_mapping;direct_mapping;;complete;identical
;HOTDRINKS_1303;Intake of hot drinks and similar (coffee, cocoa, tea and herbal infusions) [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;COFFEE_130301;Coffee intake [g/d];decimal;;a_ui_f130301;direct_mapping;direct_mapping;;complete;identical
;TEA_130302;Tea intake [g/d];decimal;;a_ui_f130302;direct_mapping;direct_mapping;;complete;identical
;HERBALTEA_130303;Intake of herbal and other non-tea infusions [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;COFFEE_IMITATE_130304;Intake of chicory coffee infusion and coffee imitate beverages [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;WATER_1304;Intake of water and water-based beverages [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;ALC_BEV_14;Alcoholic beverage intake [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;WINE_1401;Intake of wine and wine-like drinks [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;FORTWINE_1402;Intake of fortified/liqueur wine [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;BEER_1403;Intake of beer and beer-like beverage [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;SPIRITS_1404;Intake of unsweetened spirits [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;HERBLIQUEUR_1405;Intake of herb liqueur [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;LIQUEURS_1406;Intake of liqueurs [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;COCKTAILS_1407;Intake of mixed alcoholic drinks [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;CONDIMENT_SAUCES_15;Intake of seasoning, sauces and condiments [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;SAUCES_1501;Intake of savoury sauces [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;TOMATOSAUCE_150101;Intake of tomato-containing cooked sauces [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;DRESSINGS_150102;Dressing intake [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;MAYONNAISE_150103;Intake of mayonnaise [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;DESSERTSAUCE_150104;Intakes of dessert sauces/toppings [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;YEAST_1502;Intake of yeast cultures [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;HERBS_SPICES_1503;Intakes of berbs, spices and similar [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;CONDIMENTS_1504;Condiments intake [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
;SOUP_BOUILLON_16;Intake of soups and broths [g/d];decimal;;;undetermined;undetermined;;undetermined;undetermined
