index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
;GOAT_070106;Intake of goat meat [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;POULTRY_0702;Intake of poultry meat [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;OTHERPOULTRY_070200;Intake of other poultry meat [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;CHICKEN_070201;Intake of chicken meat [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;TURKEY_070202;Intake of turkey meat [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;DUCK_070203;Intake of duck meat [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;GOOSE_070204;Intake of goose meat [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;RABBIT_070205;Intake of rabbit meat [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;GAME_0703;Intake of game [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;PROCMEAT_0704;Intake of processed or preserved meat [g/d];decimal;;Flei_Wurst;direct_mapping;direct_mapping;;complete;identical
;OFFALS_0705;Intake of animal offal and other slaughtering [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;FISH_SHELLFISH_08;Intake of fish and seafood and products thereof [g/d];decimal;;Fish_sum;direct_mapping;direct_mapping;;complete;identical
;FISH_0801;Intake of fish (meat) [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;CRUSTACEANS_0802;Intake of seafood and products thereof [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;FISH_PROD_0803;Intake of processed fish [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;EGG_PROD_09;Intake of eggs and egg products [g/d];decimal;;Eier_sum_NCI;direct_mapping;direct_mapping;;complete;identical
;EGGS_0901;Intake of eggs [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;FAT_10;Intake of animal and vegetable fats and oils [g/d];decimal;;Fett_sum;direct_mapping;direct_mapping;;complete;identical
;VEGOILS_1001;Intake of vegetable fats and oils [g/d];decimal;;veg_fatsoils_NCI;direct_mapping;direct_mapping;;complete;identical
;BUTTER_1002;Intake of butter [g/d];decimal;;Butter_NCI;direct_mapping;direct_mapping;;complete;identical
;MARGARINE_1003;Intake of margarines and similar [g/d];decimal;;Marg_Streichf_NCI;direct_mapping;direct_mapping;;complete;identical
;FRYFAT_1004;Intake of blended frying oil/fats [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;MARINEOILS_1005;Intake of fats and oils from marine sources [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;OTHER_ANIMALFAT_1006;Intake of animal fats (processed fat from animal tissue) [g/d];decimal;;Animal_fatsoils_NCI;direct_mapping;direct_mapping;;complete;identical
;SUGAR_CONFECT_11;Intake of sugar and similar, confectionery and water-based sweet desserts [g/d];decimal;;Sues_sum;direct_mapping;direct_mapping;;complete;identical
;HONEY_JAM_1101;Intake of sugars, syrups, honey and table-top sweeteners [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;CHOCOLATE_1102;Intake of chocolate, chocolate products and chocolate coated confectionary [g/d];decimal;;Sues13_1;operation;0.5 * Sues13_1;;partial;tentative
;NONCHOC_SWEETS_1103;Intake of sweet bars and other formed sweet masses, candies (soft and hard) and other confectionery including breath refreshening microsweets [g/d];decimal;;Sues13_1;operation;0.5 * Sues13_1;;partial;tentative
;SYRUP_1104;Intake of corn syrup and sugar beet syrup [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;ICECREAM_1105;Intake of spoonable desserts and ice creams [g/d];decimal;;Sues13_2;direct_mapping;direct_mapping;;complete;identical
;ICECREAM_MILK_110501;Intake of milk-based ice cream [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;SORBET_110502;Sorbet intake [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;WATER_ICE_110503;Intake of water-based ice creams [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;CAKES_12;Intake of cakes and fine bakery products [g/d];decimal;;Cakes_NCI;direct_mapping;direct_mapping;;complete;identical
;VARPASTRY_1201;Intake of various pastry [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;DRYCAKE_1202;Intake of sponge biscuits and plain cakes [g/d];decimal;;impossible;impossible;impossible;;impossible;unavailable
;NONALC_BEV_13;Intake of non-alcoholic beverages [g/d];decimal;;Getr15_1;direct_mapping;direct_mapping;;complete;identical
;FRUITVEG_JUICE_1301;Intake of fruit and vegetable juices [g/d];decimal;;Getr15_14;direct_mapping;direct_mapping;;complete;identical
;SOFTDRINKS_1302;Intake of soft drinks [g/d];decimal;;Getr15_16;direct_mapping;direct_mapping;;complete;identical
;HOTDRINKS_1303;Intake of hot drinks and similar (coffee, cocoa, tea and herbal infusions) [g/d];decimal;;"Getr15_12;Getr15_13";operation;Getr15_12 + Getr15_13;;complete;compatible
;COFFEE_130301;Coffee intake [g/d];decimal;;Getr15_12;operation;0.5 * Getr15_12;Do you know the proportion of coffee drinkers? Does 50% make sense?;partial;tentative
