index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
;MILK_FOR_COFFEE_0508;Intake of condensed milk (sometimes with added sugars) and milk and dairy powders and concentrates [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;CEREAL_PROD_06;Intake of cereals and cereal primary derivatives, cereal grains (and cereal-like grains) [g/d];decimal;GHS_P1;"qu_nutr_cereals_c;qu_nutr_oats_c;qu_nutr_pasta_c;qu_nutr_reis_c;qu_nutr_wbread_c;qu_nutr_bbread_c;qu_nutr_blackbread_c";operation;qu_nutr_cereals_c+qu_nutr_oats_c+qu_nutr_pasta_c+qu_nutr_reis_c+qu_nutr_wbread_c+qu_nutr_bbread_c+qu_nutr_blackbread_c;only frequency;partial;tentative
;FLOUR_FLAKES_0601;Intake of flours and other milled products and starches [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;PASTA_RICE_0602;Intake of pastas and rice [g/d];decimal;GHS_P1;"qu_nutr_pasta_c;qu_nutr_reis_c";operation;qu_nutr_pasta_c + qu_nutr_reis_c;only frequency;partial;tentative
;BREAD_PROD_0603;Intake of bread and bread products [g/d];decimal;GHS_P1;"qu_nutr_wbread_c;qu_nutr_bbread_c;qu_nutr_blackbread_c";operation;qu_nutr_wbread_c + qu_nutr_bbread_c + qu_nutr_blackbread_c;only frequency;partial;tentative
;BREAD_060301;Intake of bread [g/d];decimal;GHS_P1;"qu_nutr_wbread_c;qu_nutr_bbread_c";operation;qu_nutr_wbread_c + qu_nutr_bbread_c;only frequency;partial;tentative
;CRISPBREAD_060302;Intake of crisp bread and rusk [g/d];decimal;GHS_P1;qu_nutr_blackbread_c;direct_mapping;direct_mapping;"includes ""Schwarzbrot"" besides ""Knäckebrot""; only frequency";partial;tentative
;BREAKF_CEREALS_0604;Intake of breakfast cereals [g/d];decimal;GHS_P1;"qu_nutr_cereals_c;qu_nutr_oats_c";operation;qu_nutr_cereals_c + qu_nutr_oats_c;only frequency;partial;tentative
;SALT_BISCUIT_0605;Intake of crackers and breadsticks [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;DOUGH_PASTRY_0606;Intake of fine bakery products [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;MEAT_PROD_07;Intake of meat and meat products [g/d];decimal;GHS_P1;"qu_nutr_meat_c;qu_nutr_poultry_c;qu_nutr_sausage_c";operation;qu_nutr_meat_c + qu_nutr_poultry_c + qu_nutr_sausage_c;only frequency;partial;tentative
;RED_MEAT_0701;Intake of red meat (mammals meat) [g/d];decimal;GHS_P1;qu_nutr_meat_c;direct_mapping;direct_mapping;only frequency;partial;tentative
;BEEF_070101;Intake of cow, ox or bull fresh meat [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;VEAL_070102;Intake of calf fresh meat [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;PORK_070103;Intake of pig fresh meat [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;MUTTON_LAMB_070104;Intake of lamb and sheep meat [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;HORSE_070105;Intake of horse meat [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;GOAT_070106;Intake of goat meat [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;POULTRY_0702;Intake of poultry meat [g/d];decimal;GHS_P1;qu_nutr_poultry_c;direct_mapping;direct_mapping;only frequency;partial;tentative
;OTHERPOULTRY_070200;Intake of other poultry meat [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;CHICKEN_070201;Intake of chicken meat [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;TURKEY_070202;Intake of turkey meat [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;DUCK_070203;Intake of duck meat [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;GOOSE_070204;Intake of goose meat [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;RABBIT_070205;Intake of rabbit meat [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;GAME_0703;Intake of game [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;PROCMEAT_0704;Intake of processed or preserved meat [g/d];decimal;GHS_P1;qu_nutr_sausage_c;direct_mapping;direct_mapping;only frequency;partial;tentative
;OFFALS_0705;Intake of animal offal and other slaughtering [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;FISH_SHELLFISH_08;Intake of fish and seafood and products thereof [g/d];decimal;GHS_P1;qu_nutr_fish_c;direct_mapping;direct_mapping;only frequency;partial;tentative
;FISH_0801;Intake of fish (meat) [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;CRUSTACEANS_0802;Intake of seafood and products thereof [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;FISH_PROD_0803;Intake of processed fish [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;EGG_PROD_09;Intake of eggs and egg products [g/d];decimal;GHS_P1;qu_nutr_egg_c;direct_mapping;direct_mapping;only frequency;partial;tentative
;EGGS_0901;Intake of eggs [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;FAT_10;Intake of animal and vegetable fats and oils [g/d];decimal;GHS_P1;"qu_nutr_butter_c;qu_nutr_margarine_c;qu_nutr_oliveoil_c;qu_nutr_vegetableoil_c";operation;qu_nutr_butter_c + qu_nutr_margarine_c + qu_nutr_oliveoil_c + qu_nutr_vegetableoil_c;only frequency;partial;tentative
;VEGOILS_1001;Intake of vegetable fats and oils [g/d];decimal;GHS_P1;"qu_nutr_vegetableoil_c;qu_nutr_oliveoil_c";operation;qu_nutr_vegetableoil_c + qu_nutr_oliveoil_c;only frequency;partial;tentative
;BUTTER_1002;Intake of butter [g/d];decimal;GHS_P1;qu_nutr_butter_c;direct_mapping;direct_mapping;only frequency;partial;tentative
;MARGARINE_1003;Intake of margarines and similar [g/d];decimal;GHS_P1;qu_nutr_margarine_c;direct_mapping;direct_mapping;only frequency;partial;tentative
;FRYFAT_1004;Intake of blended frying oil/fats [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;MARINEOILS_1005;Intake of fats and oils from marine sources [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;OTHER_ANIMALFAT_1006;Intake of animal fats (processed fat from animal tissue) [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;SUGAR_CONFECT_11;Intake of sugar and similar, confectionery and water-based sweet desserts [g/d];decimal;GHS_P1;qu_nutr_sweets_c;direct_mapping;direct_mapping;only frequency;partial;tentative
;HONEY_JAM_1101;Intake of sugars, syrups, honey and table-top sweeteners [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;CHOCOLATE_1102;Intake of chocolate, chocolate products and chocolate coated confectionary [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;NONCHOC_SWEETS_1103;Intake of sweet bars and other formed sweet masses, candies (soft and hard) and other confectionery including breath refreshening microsweets [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;SYRUP_1104;Intake of corn syrup and sugar beet syrup [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;ICECREAM_1105;Intake of spoonable desserts and ice creams [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;ICECREAM_MILK_110501;Intake of milk-based ice cream [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;SORBET_110502;Sorbet intake [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;WATER_ICE_110503;Intake of water-based ice creams [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;CAKES_12;Intake of cakes and fine bakery products [g/d];decimal;GHS_P1;qu_nutr_cake_c;direct_mapping;direct_mapping;only frequency;partial;tentative
;VARPASTRY_1201;Intake of various pastry [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;DRYCAKE_1202;Intake of sponge biscuits and plain cakes [g/d];decimal;GHS_P1;impossible;impossible;impossible;;impossible;unavailable
;NONALC_BEV_13;Intake of non-alcoholic beverages [g/d];decimal;GHS_P1;"qu_nutr_regimensoftdrink_c;qu_nutr_fruitjuice_c;qu_nutr_softdrink_c;qu_nutr_water_c;qu_nutr_coffee_d;qu_nutr_tea_d";operation;qu_nutr_regimensoftdrink_c + qu_nutr_fruitjuice_c + qu_nutr_softdrink_c + qu_nutr_water_c + qu_nutr_coffee_d + qu_nutr_tea_d;only frequency;partial;tentative
;FRUITVEG_JUICE_1301;Intake of fruit and vegetable juices [g/d];decimal;GHS_P1;qu_nutr_fruitjuice_c;direct_mapping;direct_mapping;only frequency;partial;tentative
;SOFTDRINKS_1302;Intake of soft drinks [g/d];decimal;GHS_P1;"qu_nutr_softdrink_c;qu_nutr_regimensoftdrink_c";operation;qu_nutr_softdrink_c + qu_nutr_regimensoftdrink_c;only frequency;partial;tentative
;HOTDRINKS_1303;Intake of hot drinks and similar (coffee, cocoa, tea and herbal infusions) [g/d];decimal;GHS_P1;"qu_nutr_coffee_d;qu_nutr_tea_d";operation;qu_nutr_coffee_d + qu_nutr_tea_d;only frequency;partial;tentative
