index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
;NONCHOC_SWEETS_1103;Intake of sweet bars and other formed sweet masses, candies (soft and hard) and other confectionery including breath refreshening microsweets [g/d];decimal;;;;;;;
;SYRUP_1104;Intake of corn syrup and sugar beet syrup [g/d];decimal;;;;;;;
;ICECREAM_1105;Intake of spoonable desserts and ice creams [g/d];decimal;;;;;;;
;ICECREAM_MILK_110501;Intake of milk-based ice cream [g/d];decimal;;;;;;;
;SORBET_110502;Sorbet intake [g/d];decimal;;;;;;;
;WATER_ICE_110503;Intake of water-based ice creams [g/d];decimal;;;;;;;
;CAKES_12;Intake of cakes and fine bakery products [g/d];decimal;;;;;;;
;VARPASTRY_1201;Intake of various pastry [g/d];decimal;;;;;;;
;DRYCAKE_1202;Intake of sponge biscuits and plain cakes [g/d];decimal;;;;;;;
;NONALC_BEV_13;Intake of non-alcoholic beverages [g/d];decimal;;;;;;;
;FRUITVEG_JUICE_1301;Intake of fruit and vegetable juices [g/d];decimal;;;;;;;
;SOFTDRINKS_1302;Intake of soft drinks [g/d];decimal;;;;;;;
;HOTDRINKS_1303;Intake of hot drinks and similar (coffee, cocoa, tea and herbal infusions) [g/d];decimal;;;;;;;
;COFFEE_130301;Coffee intake [g/d];decimal;;;;;;;
;TEA_130302;Tea intake [g/d];decimal;;;;;;;
;HERBALTEA_130303;Intake of herbal and other non-tea infusions [g/d];decimal;;;;;;;
;COFFEE_IMITATE_130304;Intake of chicory coffee infusion and coffee imitate beverages [g/d];decimal;;;;;;;
;WATER_1304;Intake of water and water-based beverages [g/d];decimal;;;;;;;
;ALC_BEV_14;Alcoholic beverage intake [g/d];decimal;;;;;;;
;WINE_1401;Intake of wine and wine-like drinks [g/d];decimal;;;;;;;
;FORTWINE_1402;Intake of fortified/liqueur wine [g/d];decimal;;;;;;;
;BEER_1403;Intake of beer and beer-like beverage [g/d];decimal;;;;;;;
;SPIRITS_1404;Intake of unsweetened spirits [g/d];decimal;;;;;;;
;HERBLIQUEUR_1405;Intake of herb liqueur [g/d];decimal;;;;;;;
;LIQUEURS_1406;Intake of liqueurs [g/d];decimal;;;;;;;
;COCKTAILS_1407;Intake of mixed alcoholic drinks [g/d];decimal;;;;;;;
;CONDIMENT_SAUCES_15;Intake of seasoning, sauces and condiments [g/d];decimal;;;;;;;
;SAUCES_1501;Intake of savoury sauces [g/d];decimal;;;;;;;
;TOMATOSAUCE_150101;Intake of tomato-containing cooked sauces [g/d];decimal;;;;;;;
;DRESSINGS_150102;Dressing intake [g/d];decimal;;;;;;;
;MAYONNAISE_150103;Intake of mayonnaise [g/d];decimal;;;;;;;
;DESSERTSAUCE_150104;Intakes of dessert sauces/toppings [g/d];decimal;;;;;;;
;YEAST_1502;Intake of yeast cultures [g/d];decimal;;;;;;;
;HERBS_SPICES_1503;Intakes of berbs, spices and similar [g/d];decimal;;;;;;;
;CONDIMENTS_1504;Condiments intake [g/d];decimal;;;;;;;
;SOUP_BOUILLON_16;Intake of soups and broths [g/d];decimal;;;;;;;
;SOUP_1601;Intake of soups [g/d];decimal;;;;;;;
;BOUILLON_1602;Intake of mixed vegetables soup, clear meat soup [g/d];decimal;;;;;;;
;MISCELLANEOUS_17;Intake of miscellaneous [g/d];decimal;;;;;;;
;VEG_DISHES_1700;Intake of vegetarian products and dishes [g/d];decimal;;;;;;;
;SOY_PROD_1701;Intake of soy products [g/d];decimal;;;;;;;
;DIET_PROD_1702;Intake of food for weight reduction [g/d];decimal;;;;;;;
;ART_SWEETENER_170201;Intake of artificial sweeteners (e.g., aspartam, saccharine) [g/d];decimal;;;;;;;
;SNACKS_1703;Intake of snacks other than chips and similar [g/d];decimal;;;;;;;
;AMPHIBIANS_1704;Intake of amphibians, reptiles, snails, insects [g/d];decimal;;;;;;;
;DIETARY_ASSESS_INSTR;Dietary Assessment Instrument;integer;;;;;;;
