index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
;CEREAL_PROD_06;Intake of cereals and cereal primary derivatives, cereal grains (and cereal-like grains) [g/d];decimal;IDEFICS_P1;"A;L43;L45c";operation;A + L43 + (weighting*L45c);"SACANA FGS A "" Cereals and cereal products and starchy snacks ns"" + SACANA FGS L43 ""Based on Cereals ns"" + (Gewichtung*SACANA FGS L45c ""with vegs/potatoes/cereals"")";complete;compatible
;FLOUR_FLAKES_0601;Intake of flours and other milled products and starches [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
;PASTA_RICE_0602;Intake of pastas and rice [g/d];decimal;IDEFICS_P1;"A04;A05;L43a;L43b";operation;A04 + A05 +(weighting*L43a) + (weighting*L43b);"SACANA FGS A04 ""Pasta (any kind)"" + SACANA FGS A05 "" rice and other cereal grains (not ready to eat) - ns"" + (Gewichtung*SACANA FGS L43a ""Pasta/rice/cereals + meat/fish/eggs/cheese"") + (Gewichtung*SACANA FGS L43b ""Pasta/rice/cereals + legumes /vegetables/potatoes"")";complete;compatible
;BREAD_PROD_0603;Intake of bread and bread products [g/d];decimal;IDEFICS_P1;A01;direct_mapping;direct_mapping;"SACANA FGS A01 ""bread,rolls and sim. ns""";complete;identical
;BREAD_060301;Intake of bread [g/d];decimal;IDEFICS_P1;"A01a;A01b";operation;(A01a + A01b) * weighting;"SACANA FGS A01a "" bread, crispbread, rusks, roll (refined, fiber <5%)"" + SACANA FGS A01b ""bread, crispbread, rusks, roll (wholemeal fiber>5%)"" (Gewichtung?)";complete;compatible
;CRISPBREAD_060302;Intake of crisp bread and rusk [g/d];decimal;IDEFICS_P1;"A01a;A01b";operation;(A01a + A01b) * weighting;"SACANA FGS A01a "" bread, crispbread, rusks, roll (refined, fiber <5%)"" + SACANA FGS A01b ""bread, crispbread, rusks, roll (wholemeal fiber>5%)"" (Gewichtung?)";complete;compatible
;BREAKF_CEREALS_0604;Intake of breakfast cereals [g/d];decimal;IDEFICS_P1;A02;direct_mapping;direct_mapping;"SACANA FGS A02 ""breakfast cereals, corn flakes, muesli ns""";complete;identical
;SALT_BISCUIT_0605;Intake of crackers and breadsticks [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
;DOUGH_PASTRY_0606;Intake of fine bakery products [g/d];decimal;IDEFICS_P1;impossible;impossible;impossible;;impossible;unavailable
;MEAT_PROD_07;Intake of meat and meat products [g/d];decimal;IDEFICS_P1;"G;L42;L45b";operation;G + L42 + (weighting* L45b);"SACANA FGS G ""Meat and meat products"" + SACANA FGS L42 ""based on meat"" + (Gewichtung* SACANA FGS L45b ""with meat/fish"")";complete;compatible
