index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
;BEEF_070101;Intake of cow, ox or bull fresh meat [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;VEAL_070102;Intake of calf fresh meat [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;PORK_070103;Intake of pig fresh meat [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;MUTTON_LAMB_070104;Intake of lamb and sheep meat [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;HORSE_070105;Intake of horse meat [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;GOAT_070106;Intake of goat meat [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;POULTRY_0702;Intake of poultry meat [g/d];decimal;SHIP_P1;food_4;direct_mapping;direct_mapping;only frequency;partial;tentative
;OTHERPOULTRY_070200;Intake of other poultry meat [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;CHICKEN_070201;Intake of chicken meat [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;TURKEY_070202;Intake of turkey meat [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;DUCK_070203;Intake of duck meat [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;GOOSE_070204;Intake of goose meat [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;RABBIT_070205;Intake of rabbit meat [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;GAME_0703;Intake of game [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;PROCMEAT_0704;Intake of processed or preserved meat [g/d];decimal;SHIP_P1;"food_2;food_3";operation;food_2 + food_3;only frequency;partial;tentative
;OFFALS_0705;Intake of animal offal and other slaughtering [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;FISH_SHELLFISH_08;Intake of fish and seafood and products thereof [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;FISH_0801;Intake of fish (meat) [g/d];decimal;SHIP_P1;food_5;direct_mapping;direct_mapping;only frequency;partial;tentative
;CRUSTACEANS_0802;Intake of seafood and products thereof [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;FISH_PROD_0803;Intake of processed fish [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;EGG_PROD_09;Intake of eggs and egg products [g/d];decimal;SHIP_P1;food_26;direct_mapping;direct_mapping;only frequency;partial;tentative
;EGGS_0901;Intake of eggs [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;FAT_10;Intake of animal and vegetable fats and oils [g/d];decimal;SHIP_P1;"food_19;food_20;food_17;food_18";operation;food_19 + food_20 + food_17 + food_18;only frequency;partial;tentative
;VEGOILS_1001;Intake of vegetable fats and oils [g/d];decimal;SHIP_P1;"food_19;food_20";operation;food_19 + food_20;only frequency;partial;tentative
;BUTTER_1002;Intake of butter [g/d];decimal;SHIP_P1;food_17;direct_mapping;direct_mapping;only frequency;partial;tentative
;MARGARINE_1003;Intake of margarines and similar [g/d];decimal;SHIP_P1;food_18;direct_mapping;direct_mapping;only frequency;partial;tentative
;FRYFAT_1004;Intake of blended frying oil/fats [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;MARINEOILS_1005;Intake of fats and oils from marine sources [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;OTHER_ANIMALFAT_1006;Intake of animal fats (processed fat from animal tissue) [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;SUGAR_CONFECT_11;Intake of sugar and similar, confectionery and water-based sweet desserts [g/d];decimal;SHIP_P1;food_28;direct_mapping;direct_mapping;only frequency;partial;tentative
;HONEY_JAM_1101;Intake of sugars, syrups, honey and table-top sweeteners [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;CHOCOLATE_1102;Intake of chocolate, chocolate products and chocolate coated confectionary [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;NONCHOC_SWEETS_1103;Intake of sweet bars and other formed sweet masses, candies (soft and hard) and other confectionery including breath refreshening microsweets [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;SYRUP_1104;Intake of corn syrup and sugar beet syrup [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;ICECREAM_1105;Intake of spoonable desserts and ice creams [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;ICECREAM_MILK_110501;Intake of milk-based ice cream [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;SORBET_110502;Sorbet intake [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;WATER_ICE_110503;Intake of water-based ice creams [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;CAKES_12;Intake of cakes and fine bakery products [g/d];decimal;SHIP_P1;food_27;direct_mapping;direct_mapping;only frequency;partial;tentative
;VARPASTRY_1201;Intake of various pastry [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;DRYCAKE_1202;Intake of sponge biscuits and plain cakes [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;NONALC_BEV_13;Intake of non-alcoholic beverages [g/d];decimal;SHIP_P1;"food_30;food_31";operation;food_30 + food_31;only frequency;partial;tentative
;FRUITVEG_JUICE_1301;Intake of fruit and vegetable juices [g/d];decimal;SHIP_P1;food_30;direct_mapping;direct_mapping;only frequency;partial;tentative
;SOFTDRINKS_1302;Intake of soft drinks [g/d];decimal;SHIP_P1;food_31;direct_mapping;direct_mapping;only frequency;partial;tentative
;HOTDRINKS_1303;Intake of hot drinks and similar (coffee, cocoa, tea and herbal infusions) [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;COFFEE_130301;Coffee intake [g/d];decimal;SHIP_P1;kaffee;operation;kaffee*(Portion size);;complete;compatible
;TEA_130302;Tea intake [g/d];decimal;SHIP_P1;tee;operation;tee*(Portion size);;complete;compatible
;HERBALTEA_130303;Intake of herbal and other non-tea infusions [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;COFFEE_IMITATE_130304;Intake of chicory coffee infusion and coffee imitate beverages [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;WATER_1304;Intake of water and water-based beverages [g/d];decimal;SHIP_P1;food_32;direct_mapping;direct_mapping;only frequency;partial;tentative
;ALC_BEV_14;Alcoholic beverage intake [g/d];decimal;SHIP_P1;alcg7d_s0 oder alcg30d_s0;direct_mapping;direct_mapping;ethanol intake in last 7 days oder ethanol ibtake in the last 30 days;complete;identical
;WINE_1401;Intake of wine and wine-like drinks [g/d];decimal;SHIP_P1;"weinwe;weinwt";operation;weinwe + weinwt;;complete;compatible
;FORTWINE_1402;Intake of fortified/liqueur wine [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;BEER_1403;Intake of beer and beer-like beverage [g/d];decimal;SHIP_P1;"bierwe;bierwt";operation;bierwe + bierwt;;complete;compatible
;SPIRITS_1404;Intake of unsweetened spirits [g/d];decimal;SHIP_P1;"schnwe; schnwt";operation;schnwe + schnwt;;complete;compatible
;HERBLIQUEUR_1405;Intake of herb liqueur [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;LIQUEURS_1406;Intake of liqueurs [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;COCKTAILS_1407;Intake of mixed alcoholic drinks [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;CONDIMENT_SAUCES_15;Intake of seasoning, sauces and condiments [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;SAUCES_1501;Intake of savoury sauces [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;TOMATOSAUCE_150101;Intake of tomato-containing cooked sauces [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;DRESSINGS_150102;Dressing intake [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;MAYONNAISE_150103;Intake of mayonnaise [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;DESSERTSAUCE_150104;Intakes of dessert sauces/toppings [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;YEAST_1502;Intake of yeast cultures [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;HERBS_SPICES_1503;Intakes of berbs, spices and similar [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;CONDIMENTS_1504;Condiments intake [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;SOUP_BOUILLON_16;Intake of soups and broths [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;SOUP_1601;Intake of soups [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;BOUILLON_1602;Intake of mixed vegetables soup, clear meat soup [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;MISCELLANEOUS_17;Intake of miscellaneous [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;VEG_DISHES_1700;Intake of vegetarian products and dishes [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;SOY_PROD_1701;Intake of soy products [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;DIET_PROD_1702;Intake of food for weight reduction [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;ART_SWEETENER_170201;Intake of artificial sweeteners (e.g., aspartam, saccharine) [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;SNACKS_1703;Intake of snacks other than chips and similar [g/d];decimal;SHIP_P1;food_29;direct_mapping;direct_mapping;only frequency;partial;tentative
;AMPHIBIANS_1704;Intake of amphibians, reptiles, snails, insects [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
;DIETARY_ASSESS_INSTR;Dietary Assessment Instrument;integer;SHIP_P1;_BLANK_;paste;1;1 (FFQ);complete;identical
