index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
43;BREAD_PROD_0603;Intake of bread and bread products [g/d];decimal;KORA_S1_P1;"AV511; AV512; AV515; AV517";operation;AV511 + AV512 + AV515 + AV517;AV511 (white bread) + AV512 (brown bread) + AV515 (crisp bread) + AV517 (other bread);complete;compatible
44;BREAD_060301;Intake of bread [g/d];decimal;KORA_S1_P1;"AV511; AV512; AV517";operation;AV511 + AV512 + AV517;AV511 (white bread) + AV512 (brown bread) + AV517 (other bread);complete;compatible
45;CRISPBREAD_060302;Intake of crisp bread and rusk [g/d];decimal;KORA_S1_P1;AV515;direct_mapping;direct_mapping;AV515 (crisp bread);complete;identical
46;BREAKF_CEREALS_0604;Intake of breakfast cereals [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
47;SALT_BISCUIT_0605;Intake of crackers and breadsticks [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
48;DOUGH_PASTRY_0606;Intake of fine bakery products [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;AV540 (fine bakery products) zu CAKES_12;impossible;unavailable
49;MEAT_PROD_07;Intake of meat and meat products [g/d];decimal;KORA_S1_P1;"AV111; AV112; AV113; AV115; AV117;
AV119; AV120; AV131; AV135; AV141;
AV145; AV147; AV150; AV160";operation;"AV111 + AV112 + AV113, AV115 + AV117 +
AV119 + AV120 + AV131 + AV135 + AV141 +
AV145 + AV147 + AV150 + AV160";AV111 (beef)+ AV112 (veal) + AV113 (pork meat) + AV115 (sheep or goat meat) + AV117 (game meat) + AV119 (other meat) + AV120 (poultry meat) + AV131 (minced meat) + AV135 (animal offal) + AV141 (sausage) + AV145 (ham) + AV147 (bacon) + AV150 (canned, frozen meat or meat products) + AV160 (other meat products);complete;compatible
50;RED_MEAT_0701;Intake of red meat (mammals meat) [g/d];decimal;KORA_S1_P1;"AV111; AV112; AV113; AV115; AV117;
AV119; AV131";operation;"AV111 + AV112 + AV113 + AV115 + AV117 +
AV119 + AV131";AV111 (beef)+ AV112 (veal) + AV113 (pork meat) + AV115 (sheep or goat meat) + AV117 (game meat) + AV119 (other meat) + AV131 (minced meat);complete;compatible
51;BEEF_070101;Intake of cow, ox or bull fresh meat [g/d];decimal;KORA_S1_P1;AV111;direct_mapping;direct_mapping;AV111 (beef);complete;identical
52;VEAL_070102;Intake of calf fresh meat [g/d];decimal;KORA_S1_P1;AV112;direct_mapping;direct_mapping;AV112 (veal);complete;identical
53;PORK_070103;Intake of pig fresh meat [g/d];decimal;KORA_S1_P1;AV113;direct_mapping;direct_mapping;AV113 (pork meat);complete;identical
54;MUTTON_LAMB_070104;Intake of lamb and sheep meat [g/d];decimal;KORA_S1_P1;AV115;operation;0.9 * AV115;AV115 (sheep or goat meat);partial;tentative
55;HORSE_070105;Intake of horse meat [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
56;GOAT_070106;Intake of goat meat [g/d];decimal;KORA_S1_P1;AV115;operation;0.1 * AV115;AV115 (sheep or goat meat);partial;tentative
57;POULTRY_0702;Intake of poultry meat [g/d];decimal;KORA_S1_P1;AV120;direct_mapping;direct_mapping;AV120 (poultry meat);complete;identical
58;OTHERPOULTRY_070200;Intake of other poultry meat [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
59;CHICKEN_070201;Intake of chicken meat [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
60;TURKEY_070202;Intake of turkey meat [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
61;DUCK_070203;Intake of duck meat [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
62;GOOSE_070204;Intake of goose meat [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
63;RABBIT_070205;Intake of rabbit meat [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
64;GAME_0703;Intake of game [g/d];decimal;KORA_S1_P1;AV117;direct_mapping;direct_mapping;AV117 (game meat);complete;identical
65;PROCMEAT_0704;Intake of processed or preserved meat [g/d];decimal;KORA_S1_P1;"AV141; AV145; AV147; AV150; AV160";operation;AV141 + AV145 + AV147 + AV150 + AV160;AV141 (sausage) + AV145 (ham) + AV147 (bacon) + AV150 (canned, frozen meat or meat products) + AV160 (other meat products);complete;compatible
66;OFFALS_0705;Intake of animal offal and other slaughtering [g/d];decimal;KORA_S1_P1;AV135;direct_mapping;direct_mapping;AV135 (animal offal);complete;identical
67;FISH_SHELLFISH_08;Intake of fish and seafood and products thereof [g/d];decimal;KORA_S1_P1;"AV170; AV180; AV190";operation;AV170 + AV180 + AV190;AV170 (fish) + AV180 (canned fish) + AV190 (other fish products);complete;compatible
68;FISH_0801;Intake of fish (meat) [g/d];decimal;KORA_S1_P1;AV170;direct_mapping;direct_mapping;AV170 (fish);complete;identical
69;CRUSTACEANS_0802;Intake of seafood and products thereof [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
70;FISH_PROD_0803;Intake of processed fish [g/d];decimal;KORA_S1_P1;"AV180; AV190";operation;AV180 + AV190;AV180 (canned fish) + AV190 (other fish products);complete;compatible
71;EGG_PROD_09;Intake of eggs and egg products [g/d];decimal;KORA_S1_P1;"AV250; AV255";operation;AV250 + AV255;AV250 (fresh eggs) + AV255 (egg products);complete;compatible
72;EGGS_0901;Intake of eggs [g/d];decimal;KORA_S1_P1;AV255;direct_mapping;direct_mapping;AV255 (egg products);complete;identical
73;FAT_10;Intake of animal and vegetable fats and oils [g/d];decimal;KORA_S1_P1;"AV270; AV291; AV293; AV295";operation;AV270 + AV291 + AV293 + AV295;AV270 (butter) + AV291 (margarines) + AV293 (vegetable edible oils) + AV295 (other edible oils);complete;compatible
74;VEGOILS_1001;Intake of vegetable fats and oils [g/d];decimal;KORA_S1_P1;AV293;direct_mapping;direct_mapping;AV293 (vegetable edible oils);complete;identical
75;BUTTER_1002;Intake of butter [g/d];decimal;KORA_S1_P1;AV270;direct_mapping;direct_mapping;AV270 (butter);complete;identical
76;MARGARINE_1003;Intake of margarines and similar [g/d];decimal;KORA_S1_P1;AV291;direct_mapping;direct_mapping;AV291 (margarines);complete;identical
77;FRYFAT_1004;Intake of blended frying oil/fats [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
78;MARINEOILS_1005;Intake of fats and oils from marine sources [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
79;OTHER_ANIMALFAT_1006;Intake of animal fats (processed fat from animal tissue) [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
80;SUGAR_CONFECT_11;Intake of sugar and similar, confectionery and water-based sweet desserts [g/d];decimal;KORA_S1_P1;"AV610; AV681; AV684; AV687; AV620; AV630; AV650; AV670";operation;AV610 + AV681 + AV684, AV687 +AV620 + AV630 + AV650 + AV670;AV610 (sugar) + AV681 (honey) + AV684 (jam) + AV687 (other sweet spreads) + AV620 (cacao products) + AV630 (chocolate products) + AV650 (confectionary) + AV670 (all ice cream);complete;compatible
81;HONEY_JAM_1101;Intake of sugars, syrups, honey and table-top sweeteners [g/d];decimal;KORA_S1_P1;"AV681; AV684";operation;AV681 + AV684;AV681 (honey) + AV684 (jam);complete;compatible
82;CHOCOLATE_1102;Intake of chocolate, chocolate products and chocolate coated confectionary [g/d];decimal;KORA_S1_P1;"AV620; AV630";operation;AV620 + AV630;AV620 (cacao products) + AV630 (chocolate products);complete;compatible
83;NONCHOC_SWEETS_1103;Intake of sweet bars and other formed sweet masses, candies (soft and hard) and other confectionery including breath refreshening microsweets [g/d];decimal;KORA_S1_P1;AV650;direct_mapping;direct_mapping;AV650 (confectionary);complete;identical
84;SYRUP_1104;Intake of corn syrup and sugar beet syrup [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
85;ICECREAM_1105;Intake of spoonable desserts and ice creams [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
86;ICECREAM_MILK_110501;Intake of milk-based ice cream [g/d];decimal;KORA_S1_P1;AV670;direct_mapping;direct_mapping;AV670 (all ice cream);complete;identical
87;SORBET_110502;Sorbet intake [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
88;WATER_ICE_110503;Intake of water-based ice creams [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
89;CAKES_12;Intake of cakes and fine bakery products [g/d];decimal;KORA_S1_P1;"AV540; AV570";operation;AV540 + AV570;AV540 (fine bakery wares) + AV570 (long-life baked goods);complete;compatible
90;VARPASTRY_1201;Intake of various pastry [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
91;DRYCAKE_1202;Intake of sponge biscuits and plain cakes [g/d];decimal;KORA_S1_P1;impossible;impossible;impossible;;impossible;unavailable
92;NONALC_BEV_13;Intake of non-alcoholic beverages [g/d];decimal;KORA_S1_P1;"AV810; AV821; AV825; AV829";operation;AV810 + AV821 + AV825 + AV829;"AV810 (fruit / vegetable juice) +
AV821 (table water) +
AV825 (caffeinated lemonade) +
AV829 (other soft drinks)";complete;compatible
93;FRUITVEG_JUICE_1301;Intake of fruit and vegetable juices [g/d];decimal;KORA_S1_P1;AV810;direct_mapping;direct_mapping;AV810 (fruit / vegetable juice);complete;identical
