index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
29;DAIRY_05;Intake of milk and dairy products and milk and milk products (dairy) [g/d];decimal;GINI_P1;"FFQMIL_15;FFQMOLK_15;FFQKAKAO_15;FFQJOGH_15;FFQQUARK_15;FFQWEICH_15;FFQPUDD_15;FFQSAHN_15;FFQHARTK_15";operation;"FFQMIL_15 +
FFQMOLK_15 +
FFQKAKAO_15 +
FFQJOGH_15 +
FFQQUARK_15 +
FFQWEICH_15 +
FFQPUDD_15 +
FFQSAHN_15 + FFQHARTK_15";;complete;compatible
30;MILK_0501;Intake of (whole) cow and cattle milk [g/d];decimal;GINI_P1;FFQMIL_15;direct_mapping;direct_mapping;;complete;identical
31;MILKBEV_0502;Intake of buttermilk, traditional buttermilk, flavoured milk, flavoured whey and milk-based drinks (as part-nature) [g/d];decimal;GINI_P1;"FFQMOLK_15;FFQKAKAO_15";operation;"FFQMOLK_15 +
FFQKAKAO_15";;complete;compatible
32;YOGURT_0503;Intake of fermented milk products [g/d];decimal;GINI_P1;FFQJOGH_15;direct_mapping;direct_mapping;;complete;identical
33;CURD_0504;Intake of cheese curd, quark and cottage [g/d];decimal;GINI_P1;FFQQUARK_15;direct_mapping;direct_mapping;;complete;identical
34;CHEESE_0505;Intake of cheese [g/d];decimal;GINI_P1;"FFQWEICH_15;FFQHARTK_15";operation;FFQWEICH_15 + FFQHARTK_15;;complete;compatible
35;DAIRYDESSERT_0506;Intake of dairy dessert and similar starchy pudding [g/d];decimal;GINI_P1;FFQPUDD_15;direct_mapping;direct_mapping;;complete;identical
36;CREAM_PROD_0507;Intake of cream and cream products [g/d];decimal;GINI_P1;FFQSAHN_15;direct_mapping;direct_mapping;;complete;identical
37;DAIRYCREAM_050701;Cream intake (as part-nature) [g/d];decimal;GINI_P1;FFQSAHN_15;direct_mapping;direct_mapping;;complete;identical
38;NONDAIRYCREAM_050702;Intake of imitation cream, non-dairy coffee creamers and dairy imitates other than milk [g/d];decimal;GINI_P1;impossible;impossible;impossible;;impossible;unavailable
39;MILK_FOR_COFFEE_0508;Intake of condensed milk (sometimes with added sugars) and milk and dairy powders and concentrates [g/d];decimal;GINI_P1;impossible;impossible;impossible;;impossible;unavailable
40;CEREAL_PROD_06;Intake of cereals and cereal primary derivatives, cereal grains (and cereal-like grains) [g/d];decimal;GINI_P1;"FFQNUD_15;FFQREIS_15;FFQBROE_15;FFQROGGEN_15;FFQROSIN_15;FFQTOAST_15;FFQVOLLK_15;FFQCORN_15;FFQMUES_15;FQCROIS_15;FFQGEBAE_15";operation;"FFQNUD_15 + 
FFQREIS_15 +
FFQBROE_15 +
FFQROGGEN_15 +
FFQROSIN_15 +
FFQTOAST_15 +
FFQVOLLK_15 +
FFQCORN_15 +
FFQMUES_15 +
FFQCROIS_15 +
FFQGEBAE_15";;complete;compatible
41;FLOUR_FLAKES_0601;Intake of flours and other milled products and starches [g/d];decimal;GINI_P1;impossible;impossible;impossible;;impossible;unavailable
42;PASTA_RICE_0602;Intake of pastas and rice [g/d];decimal;GINI_P1;"FFQNUD_15;FFQREIS_15";operation;FFQNUD_15 +  FFQREIS_15;;complete;compatible
43;BREAD_PROD_0603;Intake of bread and bread products [g/d];decimal;GINI_P1;"FFQBROE_15;FFQROGGEN_15;FFQROSIN_15;FFQTOAST_15;FFQVOLLK_15";operation;"FFQBROE_15 +
FFQROGGEN_15 +
FFQROSIN_15 +
FFQTOAST_15 +
FFQVOLLK_15";similar to subgroup;partial;tentative
44;BREAD_060301;Intake of bread [g/d];decimal;GINI_P1;"FFQBROE_15;FFQROGGEN_15;FFQROSIN_15;FFQTOAST_15;FFQVOLLK_15";operation;"FFQBROE_15 +
FFQROGGEN_15 +
FFQROSIN_15 +
FFQTOAST_15 +
FFQVOLLK_15";;complete;compatible
