index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
42;PASTA_RICE_0602;Intake of pastas and rice [g/d];decimal;KARMEN_P1;Pasta_rice_NCI;direct_mapping;direct_mapping;;complete;identical
43;BREAD_PROD_0603;Intake of bread and bread products [g/d];decimal;KARMEN_P1;Brot01_1;direct_mapping;direct_mapping;;complete;identical
44;BREAD_060301;Intake of bread [g/d];decimal;KARMEN_P1;Bread_NCI;direct_mapping;direct_mapping;;complete;identical
45;CRISPBREAD_060302;Intake of crisp bread and rusk [g/d];decimal;KARMEN_P1;Crispbread_NCI;direct_mapping;direct_mapping;;complete;identical
46;BREAKF_CEREALS_0604;Intake of breakfast cereals [g/d];decimal;KARMEN_P1;Breakfast_cereals_NCI;direct_mapping;direct_mapping;;complete;identical
47;SALT_BISCUIT_0605;Intake of crackers and breadsticks [g/d];decimal;KARMEN_P1;Crackers_NCI;direct_mapping;direct_mapping;;complete;identical
48;DOUGH_PASTRY_0606;Intake of fine bakery products [g/d];decimal;KARMEN_P1;Fine_bakery_NCI;direct_mapping;direct_mapping;;complete;identical
49;MEAT_PROD_07;Intake of meat and meat products [g/d];decimal;KARMEN_P1;Flei_sum;direct_mapping;direct_mapping;;complete;identical
50;RED_MEAT_0701;Intake of red meat (mammals meat) [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
51;BEEF_070101;Intake of cow, ox or bull fresh meat [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
52;VEAL_070102;Intake of calf fresh meat [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
53;PORK_070103;Intake of pig fresh meat [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
54;MUTTON_LAMB_070104;Intake of lamb and sheep meat [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
55;HORSE_070105;Intake of horse meat [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
56;GOAT_070106;Intake of goat meat [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
57;POULTRY_0702;Intake of poultry meat [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
58;OTHERPOULTRY_070200;Intake of other poultry meat [g/d];decimal;KARMEN_P1;impossible;impossible;impossible;;impossible;unavailable
