index;dataschema_variable;label;valueType;input_dataset;input_variables;Mlstr_harmo::rule_category;Mlstr_harmo::algorithm;Mlstr_harmo::comment;Mlstr_harmo::status;Mlstr_harmo::status_detail
40;CEREAL_PROD_06;Intake of cereals and cereal primary derivatives, cereal grains (and cereal-like grains) [g/d];decimal;SHIP_P1;"food_8;food_9;food_13;food_14;food_15;food_16";operation;food_8 + food_9 + food_13 + food_14 + food_15 + food_16;only frequency;partial;tentative
41;FLOUR_FLAKES_0601;Intake of flours and other milled products and starches [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
42;PASTA_RICE_0602;Intake of pastas and rice [g/d];decimal;SHIP_P1;"food_8;food_9";operation;food_8 + food_9;only frequency;partial;tentative
43;BREAD_PROD_0603;Intake of bread and bread products [g/d];decimal;SHIP_P1;"food_13;food_14;food_15";operation;food_13 + food_14 + food_15;only frequency;partial;tentative
44;BREAD_060301;Intake of bread [g/d];decimal;SHIP_P1;"food_13;food_15";operation;food_13 + food_15;only frequency;partial;tentative
45;CRISPBREAD_060302;Intake of crisp bread and rusk [g/d];decimal;SHIP_P1;food_14;direct_mapping;direct_mapping;only frequency;partial;tentative
46;BREAKF_CEREALS_0604;Intake of breakfast cereals [g/d];decimal;SHIP_P1;food_16;direct_mapping;direct_mapping;only frequency;partial;tentative
47;SALT_BISCUIT_0605;Intake of crackers and breadsticks [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
48;DOUGH_PASTRY_0606;Intake of fine bakery products [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
49;MEAT_PROD_07;Intake of meat and meat products [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
50;RED_MEAT_0701;Intake of red meat (mammals meat) [g/d];decimal;SHIP_P1;food;direct_mapping;direct_mapping;only frequency;partial;tentative
51;BEEF_070101;Intake of cow, ox or bull fresh meat [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
52;VEAL_070102;Intake of calf fresh meat [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
53;PORK_070103;Intake of pig fresh meat [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
54;MUTTON_LAMB_070104;Intake of lamb and sheep meat [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
55;HORSE_070105;Intake of horse meat [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
56;GOAT_070106;Intake of goat meat [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
57;POULTRY_0702;Intake of poultry meat [g/d];decimal;SHIP_P1;food_4;direct_mapping;direct_mapping;only frequency;partial;tentative
58;OTHERPOULTRY_070200;Intake of other poultry meat [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
59;CHICKEN_070201;Intake of chicken meat [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
60;TURKEY_070202;Intake of turkey meat [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
61;DUCK_070203;Intake of duck meat [g/d];decimal;SHIP_P1;impossible;impossible;impossible;;impossible;unavailable
